custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505319,-86.022403,40.048242,1067210666,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505320,-86.071341,39.981339,1219978206,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505321,-86.006186,40.003128,1278270393,1,4.0,212.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0
4505322,-86.037743,39.925825,1148893264,1,10.0,530.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505323,-86.040254,39.951508,1278603306,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505324,-86.015725,39.961064,1278455796,1,6.0,318.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505335,-85.999161,40.045218,1278375533,1,4.0,212.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
4505336,-86.013499,40.025762,1220135209,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505337,-86.088191,40.107618,19489579,1,2.0,106.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
4505338,-86.025566,40.047487,1324398824,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505339,-86.003002,39.99562,1278264501,1,4.0,212.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505340,-86.042569,39.999678,1220140455,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0
4505341,-86.014939,39.957125,125132216,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0
4505342,-86.014721,39.93252,1278240561,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505343,-86.006627,39.960923,1278396200,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505359,-85.995047,40.046302,1240199608,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505360,-86.096756,40.06329,1278450310,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505361,-86.091447,39.970133,1053573073,1,10.0,530.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0
4505362,-86.091448,39.970703,1309145441,4,16.0,848.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505363,-86.041659,39.949862,1050329879,3,9.0,477.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505364,-86.017618,39.93183,1278254536,1,8.0,640.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
4505365,-86.058943,39.893336,19503108,1,6.0,318.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505366,-86.064799,39.9061,1050729883,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505367,-86.101509,39.926192,1197918606,2,16.0,848.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505378,-85.997314,40.024005,1278358410,1,6.0,318.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0
4505379,-86.120942,40.116052,1066949468,1,3.0,159.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
4505380,-86.057459,40.042573,1220042401,1,3.0,159.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505381,-86.014927,39.97969,1165280905,1,8.0,424.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0
4505382,-86.014953,39.979657,1165280905,1,6.0,318.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0
4505383,-86.004737,39.998373,1269291113,3,30.0,1590.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0
4505384,-86.040303,39.952096,1278265950,1,6.0,318.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0
4505385,-86.017569,39.927554,1197912694,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505386,-86.070923,39.881884,1197411967,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505387,-86.060623,39.901834,1279176710,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505388,-86.054087,39.938468,1278230948,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505399,-85.995754,40.034407,1278362834,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505400,-86.01074,40.01822,1291633513,1,6.0,318.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0
4505401,-86.070016,40.044639,1278463937,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505402,-85.995408,39.985027,1220057290,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505403,-86.126718,40.006781,1039103367,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505404,-86.022348,39.955964,1278394283,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505405,-86.01971,39.957538,1149015292,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505406,-86.015444,39.950374,1297387165,5,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505407,-86.0606,39.901583,1279176709,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505420,-86.012887,40.046152,1067233611,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505421,-86.124234,40.041117,1297392402,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505422,-86.026415,40.047667,1278367153,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505423,-86.026316,40.04827,1278367392,2,16.0,848.0,1,3,0,0,1,1,1,0,0,A,1,0,1,0
4505424,-86.041442,39.950425,1278298298,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505425,-86.041298,39.950732,1278298298,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505426,-86.067031,39.882428,1050275164,1,4.0,212.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0
4505427,-86.067104,39.91379,1279185090,1,8.0,424.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0
4505428,-86.100671,39.910434,125144429,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505429,-86.027613,39.915123,1279226852,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505430,-86.047061,39.891197,1197043161,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505431,-86.042364,39.91736,1279102084,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505444,-86.012812,40.04508,1297408205,1,4.0,212.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505445,-85.992673,40.066972,1220337991,2,12.0,636.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505446,-86.103198,40.041319,1220134572,1,10.0,530.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505447,-86.002186,39.983593,1278267023,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505448,-86.106372,40.001304,1220046083,1,3.0,159.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505449,-85.997349,40.010904,1333490434,3,24.0,1272.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505450,-86.015364,39.929205,1197912753,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505451,-86.005525,39.963227,1278305752,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0
4505452,-86.059439,39.892724,19503108,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505453,-86.079137,39.90867,1279181912,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505454,-86.111755,39.929372,1220152496,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505463,-85.998373,40.029176,1278361527,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505464,-86.074134,40.043756,1278463924,2,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505465,-86.006635,39.977697,1297387280,2,20.0,1060.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505466,-86.005532,39.963117,1278305752,2,12.0,636.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505467,-86.022091,39.926645,1050330925,1,4.0,212.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0
4505468,-86.057846,39.89256,1115275111,1,2.0,106.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
4505469,-86.065593,39.883889,1279098985,1,8.0,424.0,1,3,1,1,0,1,0,0,0,A,1,0,1,0
4505470,-86.075699,39.913892,1197849513,1,8.0,424.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0
