WEEK#,STOP ID,PIECES,VOLUME,BEF_WK_CD,AFT_WK_CD,WK_FREQUENCY,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,AFT_MON,AFT_TUE,AFT_WED,AFT_THU,AFT_FRI,AFT_SAT,AFT_SUN,CHANGED
1,4506143,1,6.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505319,1,8.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505593,1,2.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506079,1,8.00,A,A,4,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0
1,4506207,1,4.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506203,1,6.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505519,1,6.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505446,1,10.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506298,1,10.00,A,A,3,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
1,4505930,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505926,1,4.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506521,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506176,1,6.00,A,A,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,4505906,1,3.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505256,1,8.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4506395,2,16.00,A,A,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,4506020,1,8.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505877,1,8.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505797,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505773,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505613,1,6.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505572,2,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505994,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506391,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506363,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506297,1,8.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506208,6,48.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4506144,1,8.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4505874,1,10.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505597,1,4.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,4505362,4,16.00,A,A,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
1,4506114,1,4.00,A,A,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
