custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
11161428,-88.074147,44.966073,00005557-4900-0400-0000-0000001bfb92,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161429,-88.066466,44.961987,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161430,-88.06643,44.960246,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
11161433,-88.071861,44.956753,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161434,-88.085838,44.957635,00005557-4900-0400-0000-0000000c6b61,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
11161435,-88.091463,44.967684,00005557-4900-0400-0000-0000000c6c1d,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161439,-88.066599,44.944874,00005557-4900-0400-0000-0000000c6cbd,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161440,-88.082255,44.950583,00005557-4900-0400-0000-0000001bfb8d,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161441,-88.081434,44.96396,00005557-4900-0400-0000-0000001bfb92,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161442,-88.080832,44.959305,00005557-4900-0400-0000-0000000c6b62,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161443,-88.099306,44.951857,e7c57f13-d922-49a5-9e8c-09efbd0c6d2c,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161444,-88.093348,44.951524,00005557-4900-0400-0000-0000001bfb7d,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161445,-88.141066,44.967812,00005557-4900-0400-0000-0000000c88e8,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161446,-88.130921,44.96767,00005557-4900-0400-0000-0000001bfef8,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161448,-88.165962,44.966365,00005557-4900-0400-0000-0000000c88a7,1,6.0,180.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161449,-88.238354,44.96195,a980a535-6b11-4a8d-984f-ae725fd39161,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161450,-88.246033,44.97762,00005557-4900-0400-0000-0000001b9424,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161451,-88.231357,44.962572,00005557-4900-0400-0000-0000001bfec9,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161452,-88.070163,44.951763,00005557-4900-0400-0000-0000001bfb8c,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161453,-88.228653,44.962387,00005557-4900-0400-0000-0000001bfec9,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161454,-88.193356,44.9531,00005557-4900-0400-0000-0000000c8837,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161460,-88.069873,44.949545,00005557-4900-0400-0000-0000000c6cb7,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161462,-88.086817,44.984675,00005557-4900-0400-0000-0000001e7256,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161463,-88.084219,44.987199,00005557-4900-0400-0000-0000000c6b71,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161464,-88.2330367,44.95599443,00005557-4900-0400-0000-0000001bfeca,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161465,-88.078546,44.98229,00005557-4900-0400-0000-0000001bfb94,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161466,-88.080735,44.982291,00005557-4900-0400-0000-0000001bfb94,1,8.0,240.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161467,-88.244084,44.989676,00005557-4900-0400-0000-0000001bfed2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161468,-88.09067,44.986789,00005557-4900-0400-0000-0000001e7257,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161470,-88.104099,44.951995,8de3670f-cf52-49a7-8159-5c4d6c143775,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161471,-88.06866,44.97828,00005557-4900-0400-0000-0000000c6bb7,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161473,-88.208109,44.960304,00005557-4900-0400-0000-0000000c8884,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161474,-88.202733,45.003212,f3fff74d-55fa-4d2a-aa80-1954001a88e1,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
11161475,-88.133656,44.980154,00005557-4900-0400-0000-0000001bff05,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161476,-88.067349,44.988771,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161477,-88.084249,44.990043,00005557-4900-0400-0000-0000001bfb86,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161478,-88.08966,44.988482,00005557-4900-0400-0000-0000001bfb85,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161479,-88.198016,45.002652,f3fff74d-55fa-4d2a-aa80-1954001a88e1,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161482,-88.105661,44.997159,00005557-4900-0400-0000-0000001bfb87,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161483,-88.063017,45.001157,00005557-4900-0400-0000-0000001bfbb2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161484,-88.101579,45.029085,00005557-4900-0400-0000-0000000a95c3,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161485,-88.116376,45.030801,00005557-4900-0400-0000-0000000a95c2,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161486,-88.070651,44.981977,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161487,-88.167292,44.959241,00005557-4900-0400-0000-0000001bfee7,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161488,-88.06515,44.986787,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
11161489,-88.093634,44.996632,00005557-4900-0400-0000-0000000c6c0e,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161490,-88.104015,45.014717,00005557-4900-0400-0000-0000001bfb89,1,6.0,180.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
11161491,-88.253491,45.00478,fbba71d0-62f2-4ac0-8b14-2f15f300bfd4,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
11161492,-88.099041,45.021588,00005557-4900-0400-0000-0000001b93f2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161493,-88.214758,44.95983,00005557-4900-0400-0000-0000000c884a,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161494,-88.257132,44.984632,00005557-4900-0400-0000-0000000c7390,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161495,-88.191342,44.959324,00005557-4900-0400-0000-0000000c8888,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161496,-88.135466,45.04718,00005557-4900-0400-0000-0000000c5c8a,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161497,-88.148235,45.05286,00005557-4900-0400-0000-0000000c59c3,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161498,-88.146748,45.057157,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161499,-88.114471,45.024156,00005557-4900-0400-0000-0000001b962f,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161500,-88.06566422,45.00185894,00005557-4900-0400-0000-0000000c6bdb,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161501,-88.119129,45.014503,00005557-4900-0400-0000-000000003faa,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161502,-88.279442,45.013869,00005557-4900-0400-0000-0000001bfca2,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161503,-88.271628,45.010228,00005557-4900-0400-0000-0000000c735d,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161504,-88.142124,45.047139,00005557-4900-0400-0000-0000000c5c8a,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161505,-88.143786,45.057329,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
11161506,-88.139896,45.053002,00005557-4900-0400-0000-0000000c5a08,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161507,-88.144504,45.056829,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161508,-88.145039,45.061971,00005557-4900-0400-0000-0000001bf9be,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
11161509,-88.1094,45.021656,00005557-4900-0400-0000-0000001bfb8a,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161511,-88.1401496,45.0640215,00005557-4900-0400-0000-0000000c5a10,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161512,-88.082748,45.007325,00005557-4900-0400-0000-0000000c6be0,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161513,-88.163644,45.036779,00005557-4900-0400-0000-0000000c59b3,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161514,-88.207897,45.041553,00005557-4900-0400-0000-0000001bf97c,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161515,-88.12979,45.056437,00005557-4900-0400-0000-0000000c5c21,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161516,-88.128766,45.025432,00005557-4900-0400-0000-000000007511,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161517,-88.277492,45.005253,00005557-4900-0400-0000-0000001bfc81,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161518,-88.176892,45.000673,00005557-4900-0400-0000-0000000c893b,2,16.0,480.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
11161519,-88.241762,45.008131,00005557-4900-0400-0000-0000000c8932,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
11161520,-88.235809,45.005186,daa01572-d56b-4ea3-910d-37a56678ec92,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161521,-88.123704,45.025369,00005557-4900-0400-0000-0000000c5c88,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161522,-88.184942,45.038893,bc9f656a-8ec7-4828-8e1e-6087a232ceef,1,8.0,240.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0
11161523,-88.183922,45.013792,00005557-4900-0400-0000-0000000c88fb,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161524,-88.221137,45.039716,00005557-4900-0400-0000-000000176a68,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0
11161525,-88.220135,45.040259,00005557-4900-0400-0000-000000176a68,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0
