WEEK#,BEF_SUM(Dij)_MILES,BEF_SUM(Tij)_HOURS,AFT_SUM(Dij)_MILES,AFT_SUM(Tij)_HOURS,DIFF_SUM(Dij)_MILES,DIFF_SUM(Tij)_HOURS
1,130.11,3.95,118.65,3.74,11.46,0.21
2,213.70,6.45,154.88,4.49,58.82,1.96
3,130.11,3.95,111.58,3.54,18.53,0.40
4,84.37,2.51,123.95,3.73,-39.58,-1.22
