custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4507100,-86.082583,39.877039,1279023932,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507128,-86.074031,39.878727,1279016422,1,3.0,159.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507184,-86.119935,39.886023,1296783038,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507291,-86.05883,39.893278,19503104,1,3.0,159.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
11163275,-88.447217,44.927462,00005557-4900-0400-0000-0000000c911c,1,6.0,180.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
11163345,-88.295711,44.950275,00005557-4900-0400-0000-0000000c734d,1,2.0,60.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
11163348,-88.2952138,44.9610543,00005557-4900-0400-0000-0000000c7341,1,6.0,180.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
11163396,-88.307548,44.939703,00005557-4900-0400-0000-00000000f083,1,6.0,180.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
4506264,-86.02785,39.934054,1278212432,1,8.0,424.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4506698,-86.006601,40.010285,1278305923,1,8.0,424.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4506817,-86.07142,39.910357,1197849606,1,8.0,424.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4506848,-86.013857,39.843282,1279311804,1,6.0,480.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4506849,-86.013764,39.843252,1279311804,1,8.0,424.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4506929,-86.027706,39.9236,1279232087,1,4.0,320.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507105,-86.028292,39.934267,1278255060,1,6.0,318.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507160,-86.019433,39.930123,1278254536,1,2.0,106.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507298,-86.047655,39.896199,1279084317,1,4.0,212.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507350,-86.07046,39.909163,1050723449,1,2.0,106.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507369,-86.009325,40.045224,19490920,1,3.0,159.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507398,-85.987195,39.856725,125162938,1,2.0,106.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507423,-86.025808,39.829899,1293458036,1,2.0,106.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
4507492,-85.984525,39.859239,1279238478,1,4.0,212.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1042199
11164325,-87.94081165,44.99298059,acf73052-5c7b-4223-9ff2-2fa02c2acf36,1,2.0,60.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1027633
4506909,-86.145727,39.87293,1278611538,1,2.0,106.0,2,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4506935,-86.087532,39.934708,1278380639,1,6.0,318.0,2,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4506971,-85.957984,39.869943,1196415238,1,2.0,106.0,2,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507024,-86.082975,39.927242,1305395728,1,3.0,159.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507061,-86.034069,39.835795,1279245179,1,2.0,106.0,2,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507092,-86.073958,39.878661,1279016422,1,4.0,212.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507120,-86.042618,39.839412,1279054382,1,6.0,318.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507146,-85.971816,39.85662,1196402599,1,4.0,212.0,2,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507150,-86.058996,39.893205,19503108,1,2.0,106.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507174,-85.998026,39.852751,1279245245,1,4.0,212.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507175,-86.028735,39.836111,1279242397,1,4.0,212.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507197,-86.013846,40.132969,35259285,1,4.0,212.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507206,-86.058253,39.892287,1115275111,1,4.0,212.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
4507313,-86.073691,39.878909,1279016422,1,6.0,318.0,1,1,0,0,0,1,0,0,0,E,0,0,1,0,1042199
