custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505472,-86.041685,39.904454,1196493447,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505491,-86.00399,40.014848,1278330459,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505493,-86.008449,39.980051,1278249455,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505494,-86.128646,40.020012,1336026827,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505496,-86.031332,39.940109,1278311871,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505515,-86.036978,40.02731,1278330030,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505516,-86.125961,40.004137,1297545555,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505517,-86.019367,39.931844,1278254532,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505518,-86.019377,39.931888,1278254532,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505521,-86.073436,39.90833,1197028936,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505523,-86.10834,39.912128,761974199,1,18.0,954.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505536,-85.996217,40.031043,1278362884,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505539,-86.044213,40.044058,1278323853,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505542,-86.022494,39.926419,1050330925,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505544,-86.057858,39.901379,1279086911,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505562,-86.027592,40.047557,1341600276,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505564,-86.03574,39.926311,1278235852,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505565,-85.981364,39.928262,1197700513,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505571,-86.050214,39.910577,19500992,7,56.0,2968.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
