custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505321,-86.006186,40.003128,1278270393,1,4.0,212.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505381,-86.014927,39.97969,1165280905,1,8.0,424.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505382,-86.014953,39.979657,1165280905,1,6.0,318.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505636,-86.009956,39.994576,1278253760,1,4.0,212.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505637,-86.009938,39.994624,1278253760,1,8.0,424.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505774,-86.012642,39.939754,1278243228,2,16.0,848.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505814,-85.996509,39.981274,1220049326,3,24.0,1272.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505903,-86.025369,39.928629,1291657175,1,8.0,424.0,1,2,1,0,1,0,0,0,0,A,1,0,1,0,1042199
4505992,-86.082209,39.875254,1279023932,1,6.0,318.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4506024,-86.090385,39.869616,1296633662,1,6.0,318.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4506146,-86.146609,39.831988,1278598175,1,6.0,318.0,1,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4506176,-86.142523,39.871763,1278686032,1,6.0,318.0,2,2,1,0,1,0,0,0,0,A,1,0,1,0,1042199
4506611,-85.969608,39.861946,1196607765,1,8.0,424.0,2,2,1,0,1,0,0,0,0,A,1,0,1,0,1042199
4506671,-85.979262,39.858645,1279247075,1,8.0,424.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0,1042199
4505226,-86.029792,40.050604,1278367096,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505230,-86.0242,39.926498,1197861429,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505246,-86.01918,40.050378,1165272614,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,1,0,1,0,1042199
4505250,-86.043399,39.955404,1240909797,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505271,-86.005743,40.013117,1297364546,1,8.0,424.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505301,-86.079446,39.905609,1279183861,1,8.0,424.0,1,2,1,0,0,1,0,0,0,A,1,0,1,0,1042199
4505366,-86.064799,39.9061,1050729883,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505380,-86.057459,40.042573,1220042401,1,3.0,159.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505387,-86.060623,39.901834,1279176710,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505399,-85.995754,40.034407,1278362834,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505421,-86.124234,40.041117,1297392402,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505429,-86.027613,39.915123,1279226852,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505430,-86.047061,39.891197,1197043161,1,4.0,212.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
4505444,-86.012812,40.04508,1297408205,1,4.0,212.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0,1042199
