custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
11161474,-88.202733,45.003212,f3fff74d-55fa-4d2a-aa80-1954001a88e1,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161488,-88.06515,44.986787,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161508,-88.145039,45.061971,00005557-4900-0400-0000-0000001bf9be,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161518,-88.176892,45.000673,00005557-4900-0400-0000-0000000c893b,2,16.0,480.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161531,-88.230919,45.013853,00005557-4900-0400-0000-0000001d65a8,1,6.0,180.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161545,-88.229153,45.028377,00005557-4900-0400-0000-0000000c5be1,1,2.0,60.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161557,-88.210278,44.933391,00005557-4900-0400-0000-0000000c804b,1,6.0,180.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161563,-88.231695,45.014235,00005557-4900-0400-0000-0000001d65a8,1,2.0,60.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161588,-88.231871,45.022662,00005557-4900-0400-0000-0000000c8870,1,4.0,120.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161593,-88.218195,44.977827,00005557-4900-0400-0000-0000000c8930,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161600,-88.202993,44.839345,00005557-4900-0400-0000-0000001bfcec,1,6.0,180.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161611,-88.220349,44.875549,00005557-4900-0400-0000-0000000c8148,1,4.0,120.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161619,-88.233355,44.665853,00005557-4900-0400-0000-0000001badb7,2,16.0,480.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161625,-88.209184,44.628675,00005557-4900-0400-0000-0000001b74e0,1,4.0,120.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161631,-88.248994,44.874777,00005557-4900-0400-0000-0000001bfa9d,1,4.0,120.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161640,-88.222962,44.652435,f6d248a5-8bd3-4fce-b9c0-dad55accf0c9,2,16.0,480.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
11161701,-88.215535,45.023606,00005557-4900-0400-0000-000000019a2c,1,2.0,60.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1027633
4505204,-86.005506,39.979793,1330250289,1,3.0,159.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505248,-86.002006,39.993041,1278264469,2,16.0,848.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505272,-86.104417,40.082937,1336027517,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505273,-86.033831,40.026246,1278330029,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505295,-86.056848,40.041032,1297400341,1,4.0,212.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505317,-86.010024,40.054431,1297364591,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505318,-86.014389,40.047016,1148898540,1,4.0,212.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505342,-86.014721,39.93252,1278240561,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505360,-86.096756,40.06329,1278450310,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505385,-86.017569,39.927554,1197912694,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505401,-86.070016,40.044639,1278463937,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505428,-86.100671,39.910434,125144429,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505449,-85.997349,40.010904,1333490434,3,24.0,1272.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505466,-86.005532,39.963117,1278305752,2,12.0,636.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505512,-86.010512,40.046117,19490919,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505520,-86.077403,39.904268,1196950257,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505537,-86.081469,40.02149,1144966627,1,3.0,159.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505538,-86.108776,40.084634,1329051186,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505592,-86.05391,40.04085,1278458324,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505611,-86.071475,39.956077,1278322284,1,3.0,159.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505617,-86.077384,39.911953,758812339,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505634,-86.112007,40.026122,1220036723,1,4.0,212.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505667,-86.070027,39.910697,19500727,1,8.0,424.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505682,-86.052409,40.064559,1278610220,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505725,-85.992688,40.047317,1278373953,1,4.0,212.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505769,-86.061282,40.036983,1278736746,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505857,-86.006625,39.990476,1278261062,2,8.0,424.0,2,1,1,0,0,0,0,0,0,A,1,0,1,0,1042199
4505863,-86.058555,39.931636,1310078256,1,8.0,424.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505899,-86.086428,40.042236,1066988524,1,4.0,212.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505900,-86.0705,39.957736,1278322266,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505901,-86.003024,39.994081,1278264487,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505936,-85.969372,39.862392,1196607765,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505956,-86.061785,39.900833,1279160726,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505957,-86.063134,39.901378,1279160729,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506084,-86.146841,39.867167,19465046,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506142,-86.107374,39.908414,1278961174,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506210,-85.935905,39.887086,1076667484,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506361,-86.12119,39.874514,1050264762,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506393,-86.14683,39.866571,1278608980,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506398,-85.983404,39.860411,1293682585,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506484,-86.12146,39.853382,1278797030,1,4.0,212.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506522,-86.009255,39.826503,1279217370,1,6.0,318.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506579,-86.045559,39.843298,1279034028,1,8.0,424.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506582,-85.989535,39.827808,1279182941,1,4.0,212.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506609,-86.122697,39.837084,1278805046,1,10.0,530.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4506766,-86.033827,39.836232,1293457057,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0,1042199
4505891,-86.021923,40.171331,35258811,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505893,-86.003254,40.043504,19491000,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505920,-85.999008,40.031991,1278362873,1,4.0,212.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505921,-86.031239,39.917048,1293429175,1,2.0,106.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505922,-86.039872,39.926213,948614842,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505923,-86.043599,39.915906,1279102024,1,4.0,212.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505939,-86.028965,40.176142,1309142057,1,4.0,212.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505940,-85.993508,40.204177,35258514,1,2.0,106.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505941,-85.996339,40.035311,1278368453,1,2.0,106.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505942,-86.027708,39.914146,1279226839,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505943,-86.05568,39.93435,711440936,1,3.0,159.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505944,-86.032521,39.924474,1279222954,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505949,-86.148687,39.841001,1278789394,1,3.0,159.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505952,-86.078266,39.904577,1050350281,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505954,-85.958734,39.903502,1197312646,1,3.0,159.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505972,-85.971745,40.079447,1297360677,1,2.0,106.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505973,-86.029274,39.913829,1279226829,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505974,-86.032287,39.935539,1278306434,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505975,-86.012921,39.928489,1050330934,1,6.0,318.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505976,-86.009067,40.041444,19491277,1,3.0,159.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505978,-86.102055,40.04218,1309434476,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505982,-86.125421,39.852186,1293453835,1,2.0,106.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505985,-85.980815,39.855092,1279227680,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4505999,-86.022097,40.175241,1278822563,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506002,-86.055871,39.934838,711440937,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506003,-86.035077,39.921778,1279101440,1,6.0,318.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506006,-86.016242,40.034676,19491498,1,6.0,318.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506007,-86.008052,39.961701,1278452955,1,4.0,212.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506008,-86.007988,39.973052,1297369619,1,8.0,424.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506009,-86.149479,39.86162,19465707,1,3.0,159.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506011,-86.102271,39.908184,1196903644,1,2.0,106.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506012,-86.016325,39.955643,1236355304,1,4.0,212.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506013,-85.996518,39.864988,1296650631,1,10.0,530.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506014,-85.958614,39.903711,1197312646,1,2.0,106.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506016,-86.042364,39.832373,1228426065,1,2.0,106.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506030,-85.9568,40.111529,1037584541,1,6.0,318.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506031,-85.956962,40.111569,1037584541,2,16.0,848.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506033,-86.040765,39.913778,1279102018,1,2.0,106.0,2,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
4506034,-86.075178,40.00136,1297367643,1,4.0,212.0,1,1,0,1,0,0,0,0,0,A,0,0,1,0,1042199
