custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505205,-86.114469,40.001055,1278186084,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505206,-86.025548,39.928475,1197861497,4,32.0,1696.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505254,-86.092809,39.905546,1196915642,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505256,-86.053299,39.892299,1279023634,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505274,-86.00619,39.988256,1291636789,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505280,-86.10392,39.908503,125170204,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505303,-86.09035,39.929716,1197695330,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505319,-86.022403,40.048242,1067210666,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505320,-86.071341,39.981339,1219978206,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505359,-85.995047,40.046302,1240199608,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505362,-86.091448,39.970703,1309145441,4,16.0,848.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505365,-86.058943,39.893336,19503108,1,6.0,318.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505367,-86.101509,39.926192,1197918606,2,16.0,848.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505383,-86.004737,39.998373,1269291113,3,30.0,1590.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505388,-86.054087,39.938468,1278230948,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505404,-86.022348,39.955964,1278394283,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505406,-86.015444,39.950374,1297387165,5,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505407,-86.0606,39.901583,1279176709,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505422,-86.026415,40.047667,1278367153,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505451,-86.005525,39.963227,1278305752,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505463,-85.998373,40.029176,1278361527,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505465,-86.006635,39.977697,1297387280,2,20.0,1060.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505495,-86.03115,39.928359,1278235829,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505497,-86.017006,39.927849,1197912694,2,20.0,1060.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505498,-86.018338,39.929091,1197912696,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505519,-86.005222,39.961985,1278396193,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505540,-86.006412,39.975052,1297369616,2,16.0,848.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505541,-86.013837,39.957835,1085793626,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505543,-86.01587,39.958451,1278455770,2,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505566,-86.018323,39.944469,781656774,1,4.0,212.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505568,-86.05403,39.938514,1278230948,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505596,-86.009294,39.927991,1197912905,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505609,-86.013682,40.045539,19490977,4,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505615,-86.017423,39.929071,1197912694,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505616,-86.059021,39.893159,19503108,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505641,-86.059015,39.89312,19503108,1,4.0,320.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505662,-86.067487,40.003411,1128166517,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505684,-86.008012,39.974034,1297369619,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505688,-86.015035,39.950507,1297387166,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505711,-86.013087,39.958746,1278252778,2,20.0,1060.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505777,-86.090159,39.926259,1197695225,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505791,-86.008364,40.014371,1278307915,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505793,-86.006032,39.969997,1309143126,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505798,-86.065131,39.904861,1051471019,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505822,-86.11548,39.908025,1279018942,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505837,-86.073762,40.044029,1338896482,2,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505838,-85.981293,39.929357,1293338675,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505845,-86.116745,39.867045,948887185,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505846,-86.137241,39.868032,1278675691,2,20.0,1060.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505854,-85.998217,40.044397,1278376096,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505858,-86.071555,40.001378,1220066071,2,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505864,-86.094465,39.928322,1197916400,2,16.0,848.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505877,-86.067828,39.884588,758536131,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505890,-86.026091,39.835724,1279226688,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505909,-86.034302,39.915801,1279226922,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505910,-86.04431,39.916162,19500288,15,60.0,3180.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505938,-86.009485,39.856469,1197322202,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505959,-86.109492,39.910703,1196824090,4,32.0,1696.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505966,-86.086513,39.869466,19464760,13,52.0,2756.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505988,-86.116199,39.906012,1293446980,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4505989,-86.049922,39.904712,1279156442,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4505991,-86.155344,39.843336,1278586398,1,6.0,318.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506020,-86.038689,39.898641,1279101158,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506021,-86.050003,39.907553,1279163827,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506029,-86.029226,39.836269,1279242396,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506054,-86.149635,39.883877,1162577018,1,24.0,1272.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506118,-85.988577,39.856769,1279236622,20,160.0,8000.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506141,-86.099185,39.929351,927962341,1,10.0,530.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506144,-86.043894,39.885034,1279061015,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506148,-86.062654,39.844757,1196613454,2,20.0,1060.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506182,-86.002347,39.828173,19494042,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506203,-86.109534,39.927969,1278261662,1,6.0,318.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506212,-86.010784,39.843611,1279311824,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506234,-86.091354,39.930291,1197695175,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506235,-86.05127,39.905672,1279147376,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506238,-86.139624,39.848363,1283685188,1,6.0,318.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506239,-85.998246,39.852603,1279245246,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506241,-86.01175,39.841948,1279311960,3,24.0,1272.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506242,-86.011822,39.84191,1279311960,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506265,-86.109373,39.924481,1279093587,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0,1042199
4506303,-85.969581,39.862019,1050567093,2,16.0,800.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506327,-86.106097,39.915016,1293442761,2,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
4506330,-86.143621,39.870465,1278664035,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0,1042199
