custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4506173,-86.106354,39.912995,130134387,1,4.0,212.0,2,4,1,1,1,1,0,0,0,A,1,0,1,0,1042199
4505561,-86.002844,40.015016,1278330459,2,16.0,848.0,2,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505563,-86.077812,40.003831,1297655749,2,16.0,848.0,1,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505728,-86.030768,40.050639,1278367096,1,8.0,424.0,1,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505799,-86.109086,39.914017,761938424,2,8.0,424.0,2,4,1,1,1,0,1,0,0,A,1,0,1,0,1042199
4505860,-86.034919,39.929141,1278235867,1,4.0,212.0,1,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505880,-86.108276,39.914662,761938425,2,24.0,1272.0,2,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505955,-86.012338,39.95765,1278447607,1,4.0,212.0,1,4,1,1,1,0,1,0,0,A,1,0,1,0,1042199
4505958,-86.10412,39.928457,1278252212,1,6.0,318.0,1,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4506274,-86.007129,39.854739,1197320047,2,16.0,848.0,2,4,1,1,1,0,1,0,0,A,0,0,1,0,1042199
4505278,-86.092274,39.904686,1196915642,1,8.0,424.0,1,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505378,-85.997314,40.024005,1278358410,1,6.0,318.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4505400,-86.01074,40.01822,1291633513,1,6.0,318.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505427,-86.067104,39.91379,1279185090,1,8.0,424.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505467,-86.022091,39.926645,1050330925,1,4.0,212.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505514,-86.125588,40.037827,1278293804,1,8.0,424.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505734,-86.086629,39.90813,19501224,6,48.0,2544.0,1,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4505776,-86.089849,39.903655,123262999,1,10.0,530.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505841,-86.086933,39.906191,1342786950,1,3.0,159.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4505932,-86.143461,39.870718,1278664029,1,4.0,212.0,1,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4505986,-86.083782,39.908233,20085064,8,24.0,1272.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4506050,-86.10413,39.925209,1279022523,1,8.0,424.0,1,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4506079,-86.060178,39.907264,1054201256,1,8.0,424.0,1,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4506332,-86.085814,39.853406,756087223,1,8.0,424.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4506421,-86.042963,39.889376,1279069282,1,4.0,212.0,1,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4506550,-85.979177,39.857755,1197333296,4,32.0,1600.0,2,4,1,1,0,1,1,0,0,A,1,0,1,0,1042199
4506643,-86.026,39.85382,108776718,1,8.0,424.0,1,4,1,1,0,1,1,0,0,A,0,0,1,0,1042199
4505293,-86.013841,40.045214,1067233609,1,4.0,212.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505361,-86.091447,39.970133,1053573073,1,10.0,530.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505384,-86.040303,39.952096,1278265950,1,6.0,318.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505426,-86.067031,39.882428,1050275164,1,4.0,212.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505470,-86.075699,39.913892,1197849513,1,8.0,424.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505683,-86.078815,40.04395,1067566757,1,6.0,318.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505708,-86.113812,40.00198,1278186084,1,3.0,159.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505795,-86.030474,39.951632,1278243130,1,2.0,106.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505812,-85.994919,40.056206,19494380,1,8.0,424.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505813,-85.993825,40.056817,19494380,21,84.0,4452.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505842,-86.089812,39.925359,1197695225,3,24.0,1272.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4505843,-86.034661,39.913416,1279224230,2,16.0,848.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505872,-86.07838,40.044614,1297398760,8,32.0,1696.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505916,-86.006308,39.853972,1197320048,1,4.0,212.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505965,-86.113948,39.841298,1279217166,2,16.0,848.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4505969,-86.029247,39.827278,19470223,4,24.0,1272.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4506027,-85.975646,39.861872,1279275237,1,6.0,318.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4506056,-86.067204,39.842513,1371699917,1,8.0,424.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4506086,-86.123147,39.8485,1278818807,1,8.0,424.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4506580,-85.999527,39.848502,1166758165,1,10.0,530.0,2,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4506704,-85.990644,39.855164,1279230811,1,8.0,424.0,1,4,1,0,1,1,1,0,0,A,1,0,1,0,1042199
4506731,-86.136016,39.850745,19466709,1,10.0,530.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4506764,-85.955488,39.905427,125157347,1,8.0,424.0,2,4,1,0,1,1,1,0,0,A,0,0,1,0,1042199
4507130,-86.143083,39.872707,1278685987,1,2.0,106.0,1,4,0,1,1,1,1,0,0,A,1,0,1,0,1042199
